Episode,Consigli_Accettati
1,2
2,3
3,5
4,5
5,10
6,14
7,2
8,3
9,12
10,15
11,8
12,25
13,8
14,11
15,24
16,16
17,9
18,22
19,17
20,18
21,20
22,13
23,25
24,6
25,23
26,35
27,37
28,26
29,24
30,24
31,24
32,32
33,25
34,22
35,36
36,30
37,25
38,28
39,27
40,29
41,27
42,30
43,26
44,34
45,21
46,32
47,32
48,15
49,36
50,32
51,24
52,32
53,29
54,20
55,37
56,24
57,19
58,30
59,22
60,17
61,31
62,21
63,20
64,30
65,36
66,33
67,32
68,33
69,37
70,33
71,23
72,23
73,34
74,38
75,35
76,23
77,34
78,21
79,31
80,37
81,29
82,32
83,36
84,20
85,37
86,19
87,32
88,34
89,23
90,25
91,36
92,37
93,22
94,37
95,26
96,33
97,35
98,18
99,36
100,37
101,32
102,8
103,35
104,38
105,35
106,38
107,37
108,32
109,18
110,29
111,32
112,35
113,34
114,25
115,17
116,36
117,24
118,22
119,33
120,34
121,27
122,32
123,26
124,14
125,26
126,30
127,25
128,18
129,27
130,19
131,21
132,33
133,37
134,33
135,33
136,32
137,31
138,28
139,25
140,18
141,19
142,29
143,22
144,32
145,26
146,29
147,34
148,29
149,29
150,25
151,17
152,28
153,33
154,29
155,30
156,33
157,31
158,28
159,25
160,32
161,22
162,24
163,36
164,30
165,27
166,28
167,30
168,30
169,36
170,26
171,31
172,33
173,32
174,19
175,23
176,34
177,37
178,31
179,23
180,27
181,36
182,26
183,28
184,33
185,20
186,27
187,34
188,34
189,33
190,29
191,19
192,33
193,24
194,30
195,31
196,25
197,34
198,24
199,31
200,34
201,33
202,25
203,26
204,34
205,22
206,28
207,32
208,27
209,35
210,38
211,18
212,36
213,37
214,32
215,25
216,38
217,34
218,31
219,32
220,34
221,31
222,28
223,23
224,29
225,36
226,25
227,29
228,29
229,27
230,15
231,31
232,31
233,24
234,33
235,35
236,36
237,18
238,26
239,36
240,27
241,30
242,34
243,28
244,28
245,29
246,36
247,28
248,32
249,16
250,20
251,22
252,28
253,25
254,30
255,19
256,22
257,32
258,16
259,22
260,29
261,28
262,38
263,28
264,35
265,22
266,33
267,28
268,36
269,34
270,28
271,22
272,27
273,32
274,30
275,32
276,32
277,34
278,34
279,31
280,31
281,27
282,26
283,31
284,21
285,25
286,32
287,33
288,29
289,26
290,34
291,33
292,33
293,35
294,32
295,34
296,29
297,35
298,33
299,26
300,34
301,34
